NUMBOL,Tipo,P1,P2,P3,P1A,P1B,P1C,P1D,P1E,P2A,P2B,P2C,P2D,P2E,P3A,P4A,P4,P5,P6,P7A,P7B,P8,P9,P10,P11A,P11B,P11C,P11F,P11G,P11D,P12,P13A,P13B,P14,P15A,P15B,P15C,P15E,P15D,P16,P17,P18,P19,P20,P21A,P21B,P22,P23,P24,P25,P26,P27A,P27B,P27C,P27E,P27F,P27G,P27D,P28,P29A,P29B,P30,P31A,P31B,P31C,P31D,P31E,P31G,P31H,P31F,P32,P33,P34,P35,P36A,P36B,P37,P38,P39A,P39B,P40,P41A,P41B,P41C,P41D,P41E,P41G,P41H,P41I,P41J,P41F,P42A,P42B,P42C,P42E,P42F,P42D,P43,P44A,P44B,P44C,P44D,P44E,P44F,P44G,P44J,P44H,P44I,P44K,P44L,P44M,P44N,P44O,P44P,P44Q,P44R,P44S,P44T,P44U,P44V,P44W,P44X,P45A,P45B,P45C,P45D,P45E,P45F,P45G,P45H,P45I,P45J,P45K,P45L,P45M,P45N,P45O,P45P,P45Q,P45R,P45S,P45T,P45U,P45V,P45W,P45X,P46A,P46B,P46C,P46E,P46F,P46G,P46H,P46I,P46D,P47A,P47B,P47C,P47D,P47E,P47G,P47H,P47I,P47F,P48A,P48B,P48C,P49A,P49B,P49C,P50,P51,P52,P53,P54,P55A,P55B,P56,P57,P58A,P58B,P59A,P59B,P60A,P60B,P61A,P60C,P62A,P62B,P63A,P63B,P64A,P64B,P64C,P64D,P64E,P65,P66,P67A1,P67A2,P67B1,P67B2,P67C1,P67C2,P68,P69,P70,P71,P72A,P72B,P72C,P72E,P72F,P72D,P73,P74A,P74B,P75,P76,P77,P78A,P78B,P78C,P78D,P79,P80A,P80B,P80C,P80D,P81A,P81B,P81C,P81D,P82A,P82B,P82C,P82D,P83A,P83B,P83C,P83D,P84,P85A,P85B,P85C,P85D,P86A,P87,P88A,P88B,P88C,P88D,P89A,P89B,P89C,P89D,P90A,P90B,P90C,P90D,P91A,P91B,P91C,P91D,P92,P93A,P93B,P93C,P93D,P94,P95,P96,P97,P98A,P98B,P98C,P98E,P98D,P99,P100A,P100B,P100C,P100D,P100E,P100G,P100H,P100I,P100F,P101A,P101B,P101C,P101D,P101E,P102,P103A,P103B,P103C,P103D,P103E,P103F,P103G,P103H,P103I,P103J,P103K,P103L,P103M,P103N,P103O,P103P,P103Q,P104A,P104B,P104C,P104D,P104E,P104F,P104G,P104H,P104I,P104J,P104K,P104L,P104M,P104N,P104O,P104P,P104Q,P105,P106A,P106B,P106C,P106D,P107A,P107B,P107C,P107D,P107E,P108,P109,P110,P111,P11E,P112,P113,P114A,P114B,P115A,P115B,P115C,P115D,P116,P117,P118A,P118B,P118C,P118D,P118E,P118G,P118H,P118I,P118F,P119,P120,P121A,P121B,P121C,P121E,P121F,P121G,P121D,P122,P123,P124A,P124B,P124C,P124D,P124E,P125,P126,P127,P128A,P128B,P128C,P128D,P129A,P129B,P129C,P130A,P130B,P130C,P131A,P131B,P131C,P132A,P132B,P132C,P133A,P133B,P133C,P134,P135,P136,P137,P138,P139,P140,P140A,P140B,P140C,P140D,P141,P142,P143,P144,P145,P146A,P146B,P146C,P147,P148,P149,P150,P151,P151A,P151B,P152,P153,P154A,P154B,P155,P156A,P156B,P156C,P156D,P156E,P156F,P156G,P156H,P156I,P156J,P156K,P157,P158,P159,P160,CodP160,Ponderador5536,Ponderador5033,Nse
8521,1,50,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,99,,9,1,2,4,,,1,2,100,3,1,99,,99,3,,,,,,,,,,,1,6,,1200,1,3,6,7,,,,,1,2,40,3,1,,1,20,250,3,4,1,,,,,,,,,,11,,,,,,1,18,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,MEDICINA TRADICIONAL,,,YERBAS MEDICINALES,,,2,2,2,2,2,2,,3,4,2,,2,,2,,2,,2,,2,,4,5,3,7,,NINGUNO,2,,,,,,,3,2,,2,4,,,,,,1,4,,2,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,,,,,6,16,17,,,,,,,,,,,,,,,,15,16,,,,,,,,,,,,,,,,2,,,,,,,,,,2,2,2,1,,1,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,2,2,2,3,3,2,2,,2,,,,,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2,1,1,1,1,1,1,1,2,2,2,2,2,,99,47,2,,,,2,2,2,4,1,,,3,2,5,TIENDA BARRIO,1,1,2,1,2,2,2,2,1,1,2,2,1,7,3,El Común,26,",416121729424244",",454790835521826",1
8522,1,47,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,99,,9,1,4,,,,1,2,100,3,1,,3,100,3,,,,,,,,,,,1,1,,350,1,6,7,,,,,,1,1,30,3,1,,1,80,55,1,4,1,,,,,,,,,,11,,,,,,3,20,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,13,,,,,,,,NINGUNO,NINGUNO,,,NINGUNO,,,2,2,2,2,2,9,,3,3,2,,2,,2,,2,,2,,2,,12,,,,NI IDEA,NSNR,2,,,,,,,3,2,,2,4,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,7,2,,,3,18,19,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,2,1,3,,,2,2,2,2,,1,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,2,3,2,3,1,2,,2,,,,,1,,,1,,,1,,,1,,,1,,,1,1,1,1,1,1,1,2,2,2,2,2,,99,46,2,,,,1,2,1,2,1,,,7,2,5,TAXISTA,3,1,2,1,2,2,2,2,1,0,1,2,6,7,3,El Común,26,",416121729424244",",454790835521826",2
8523,1,24,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,99,,9,1,4,,,,1,2,50,3,1,99,,99,3,,,,,,,,,,,1,8,,380,1,6,7,,,,,,1,2,50,3,1,,1,100,60,1,3,1,,,,,,,,,,11,,,,,,3,18,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,13,,,,,,,,NINGUNO,NSNR,,,NINGUNO,,,2,2,2,2,2,9,,3,2,2,,2,,2,,2,,2,,2,,1,2,3,4,,PAGO DE SERVICIOS BASICOS,2,,,,,,,3,2,,2,8,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,2,7,5,,3,18,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,8,,,,,1,2,2,1,,1,1,3,,1,,,,2,1,7,,,,,,,,,3,2,,,,,,,,1,3,3,2,3,2,4,2,,2,,,,,1,2,3,1,2,3,1,3,2,1,2,3,1,2,3,1,1,3,3,1,1,1,2,2,2,2,2,,99,21,2,,,,2,2,1,1,1,,,7,2,1,,2,1,2,1,2,2,2,2,1,0,2,2,4,7,3,El Común,26,",416121729424244",",454790835521826",1
8524,1,49,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,99,,9,1,4,,,,1,2,100,3,1,,1,100,3,,,,,,,,,,,1,,2,350,1,6,,,,,,,1,2,40,4,1,,1,60,55,1,3,1,,,,,,,,,,11,,,,,,2,19,,,,,,,,,,,,,,,,,,,,,,,,18,19,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,13,,,,,,,,NINGUNO,NINGUNO,,,NSNR,,,2,2,2,2,2,9,,2,3,2,,2,,2,,2,,2,,2,,1,7,2,9,,PAGO DE SERVICIOS BASICOS,2,,,,,,,3,2,,2,8,,,,,,1,2,,2,2,2,6,,,NSNR,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,7,2,4,,3,19,20,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,1,2,3,,,2,2,2,2,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,3,3,3,3,2,,2,,,,,1,,,1,,,1,,,1,,,1,,,1,1,1,1,1,1,1,2,2,2,2,2,,99,47,1,1,,,2,1,1,2,1,,,3,1,1,,2,1,2,1,2,2,2,2,1,0,2,2,3,7,3,El Común,26,",416121729424244",",454790835521826",1
8525,1,25,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,2,600,1,4,,,,1,2,50,3,2,,,,3,,,,,,,,,,,1,2,,1000,1,2,6,,,,,,1,2,20,4,1,,1,20,60,1,4,1,2,,,,,,,,,11,,,,,,5,12,13,14,15,16,17,18,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,1,8,10,,,,,,,1,,,,,,,,,NO USA,,,NO USA,,,2,2,2,2,2,4,,4,3,2,,2,,2,,2,,2,,2,,1,2,4,,,NO LE INTERESA,2,,,,,,,3,2,,1,1,5,,,,,2,,,,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,4,,,5,11,,,,,,,,,,,,,,,,,9,10,11,,,,,,,,,,,,,,,2,,,,,1,2,,,,2,2,2,2,,9,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,1,2,1,2,2,2,,2,,,,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,2,2,2,2,1,1,1,2,2,2,2,2,,99,99,2,,,,2,2,3,2,1,,,7,2,2,,2,1,2,2,2,2,2,2,2,0,2,2,5,7,3,El Común,26,",416121729424244",",454790835521826",1
8526,1,34,1,1,,,,,,,,,,,,,2,,2,,,,,2,1,,,,,,1,99,,9,1,2,,,,1,2,100,4,1,99,,99,3,,,,,,,,,,,1,,1,300,1,2,6,,,,,,1,2,50,3,1,,1,40,60,1,3,1,2,5,10,,,,,,,11,,,,,,5,17,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,1,,,,,,,,,NINGUNO,,,NINGUNO,,,9,9,9,9,9,1,,2,2,2,,2,,2,,2,,2,,2,,1,3,2,,,EL PERIODICO,2,,,,,,,3,2,,2,2,,,,,,1,3,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,2,4,,,3,10,11,,,,,,,,,,,,,,,,15,16,,,,,,,,,,,,,,,,2,,,,,2,1,,,,3,2,2,4,,9,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,1,2,2,2,2,2,,2,,,,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,2,2,2,2,2,2,2,9,9,9,9,2,,26,26,2,,,,2,1,3,2,1,,,2,3,1,,1,1,2,1,2,2,2,2,1,0,2,2,5,7,3,El Común,26,",416121729424244",",454790835521826",1
8527,1,48,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,7,600,1,2,,,,2,2,,,1,,8,200,3,,,,,,,,,,,1,3,,1100,1,2,6,,,,,,1,2,30,3,1,,1,20,60,1,5,1,10,,,,,,,,,1,,,,,,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,,,,,,,,,12,18,19,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,13,,,,,,,,,NINGUNO,,,NINGUNO,,,9,9,9,9,9,4,,2,2,2,,2,,2,,2,,2,,2,,1,2,3,,,NO ENTIENDE,2,,,,,,,3,2,,2,2,,,,,,1,3,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,2,7,,,2,9,10,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,2,,,,,1,2,3,,,3,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,1,2,2,2,2,2,,2,,,,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,2,2,2,2,1,1,1,9,9,9,9,2,,99,99,2,,,,2,1,2,2,1,,,2,2,5,TAXISTA,1,1,2,1,2,2,2,2,1,0,2,2,5,7,3,El Común,26,",416121729424244",",454790835521826",1
8528,1,47,1,1,,,,,,,,,,,,,2,,1,99,,2,99,5,1,4,,,,,1,,1,1400,1,4,,,,1,2,100,4,1,,1,250,2,,,,,,,,,,,1,7,,1200,1,2,3,6,7,,,,1,2,50,3,1,,1,30,60,1,4,1,2,5,,,,,,,,11,,,,,,1,10,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,,,,,1,2,5,,,,,,,1,9,,,,,,,,MINISTERIO EDUCACION,TODO SOBRE EDUCACION,,ED EN AMERICA LATINA,ED EN ESPA!A,,1,2,1,2,2,2,,4,4,2,,2,,2,,2,,2,,1,2,5,4,2,,,PAGO IMPUESTOS INMUEBLES,1,MIN EDUCACION,4,,,,,2,2,,1,1,5,,,,,1,1,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,5,4,3,1,,7,9,10,20,21,,,,,,,,,,,,,,10,11,21,22,23,,,,,,,,,,,,,2,,,,,,,,,,2,2,2,1,,1,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,2,4,2,2,1,20,2,,,,,1,4,2,1,2,3,1,2,4,1,2,4,1,2,4,1,1,1,4,4,3,3,1,1,1,1,1,2,22,26,1,3,,,2,2,7,2,1,,,1,1,1,,3,1,2,1,2,2,2,2,1,0,2,2,3,7,3,El Común,26,",416121729424244",",454790835521826",2
8529,1,46,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,6,1000,1,4,,,,1,2,50,4,1,,5,100,3,,,,,,,,,,,1,,2,1200,1,2,6,,,,,,1,2,30,4,1,,1,30,60,1,5,1,8,10,,,,,,,,1,,,,,,2,10,11,18,19,,,,,,,,,,,,,,,,,,,,,10,11,12,19,20,,,,,,,,,,,,,,,,,,,,1,2,9,,,,,,,1,,,,,,,,,NO USA,,,NINGUNO,,,1,2,2,2,2,4,,3,3,2,,2,,2,,2,,2,,2,,1,2,4,,,NINGUNO,2,,,,,,,3,2,,2,8,,,,,,1,3,,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,2,1,4,,,3,6,7,20,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,2,,,,,1,2,3,,,2,2,2,4,,9,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,2,2,3,4,4,2,,2,,,,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,3,3,3,2,2,2,2,9,9,9,9,2,,99,99,2,,,,2,1,1,4,1,,,5,1,1,,1,1,2,1,2,2,2,2,1,0,2,2,6,7,3,El Común,26,",416121729424244",",454790835521826",1
8530,1,18,1,1,,,,,,,,,,,,,2,,2,,,,,1,5,,,,,,1,,2,600,4,,,,,1,2,50,4,1,,6,160,3,,,,,,,,,,,1,,1,1300,1,2,3,4,6,7,,,1,1,40,3,1,,1,30,60,1,3,1,2,9,10,,,,,,,3,,,,,,7,12,13,14,15,16,17,18,19,20,21,22,23,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,1,4,10,,,,,,,9,,,,,,,,,NO USA,,,NINGUNO,,,2,2,2,2,2,1,,3,3,2,,2,,2,,2,,2,,2,,1,2,4,,,INFORMACION DE IMPUESTOS,2,,,,,,,2,2,,1,1,5,,,,,2,,,,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,7,,,7,10,11,20,,,,,,,,,,,,,,,11,20,21,,,,,,,,,,,,,,,2,,,,,1,2,3,,,2,2,2,4,,2,1,1,,1,,,,2,2,,,,,,,,,,,2,,,,,,,,2,,1,2,2,4,2,2,,2,,,,,5,6,1,5,6,1,5,6,1,7,6,5,6,5,1,6,6,6,6,1,1,1,1,2,1,1,2,,10,12,2,,,,2,2,3,1,1,,,6,1,1,,1,1,2,1,2,2,2,2,1,0,2,2,6,7,3,El Común,26,",416121729424244",",454790835521826",1
8531,1,19,1,1,,,,,,,,,,,,,2,,2,,,,,3,5,,,,,,1,99,,9,2,4,,,,1,2,100,4,1,,2,100,3,,,,,,,,,,,1,,2,1200,1,2,6,7,,,,,1,1,30,3,1,,1,60,60,1,4,1,2,10,,,,,,,,3,,,,,,7,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,1,2,9,10,,,,,,5,,,,,,,,,WWW UDABOL.COM.BO,,,NINGUNO,,,1,2,1,1,1,4,,4,3,2,,2,,2,,2,,2,,2,,1,3,4,,,NSNR,2,,,,,,,2,2,,1,5,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,7,,,7,10,11,12,13,14,15,16,17,18,19,20,,,,,,,12,13,14,15,16,17,18,19,20,21,22,,,,,,,2,,,,,1,2,3,,,2,2,2,4,,2,1,2,,1,,,,2,2,,,,,,,,,,,2,,,,,,,,2,,1,2,3,3,3,2,,2,,,,,1,2,3,1,2,3,1,2,3,1,5,6,1,5,6,1,1,1,1,2,2,2,1,2,1,1,2,,13,15,2,,,,2,1,3,1,1,,,6,1,1,,2,1,2,1,2,2,2,2,1,0,2,2,4,7,3,El Común,26,",416121729424244",",454790835521826",1
8601,1,25,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,4,400,1,2,4,,,1,2,125,5,2,,,,3,,,,,,,,,,,1,,1,800,1,2,6,7,,,,,1,1,90,4,1,,1,80,55,1,4,1,6,9,,,,,,,,5,,,,,,7,8,9,10,19,20,21,24,,,,,,,,,,,,,,,,,,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,1,7,,,,,,,,RED UNO,,,,,,2,2,2,2,2,9,,9,9,2,,2,,2,,2,,2,,2,,3,5,6,7,,,2,,,,,,,2,2,,1,1,5,,,,,1,4,,2,2,1,,,,,1,1,,,,7,,,,4,,,,3,,,,250,2,,,,1,1,1,2,,,5,,,,1,,,,2,,,,700,1,,,,1,2,2,2,,,,,,1,1,3,,,,,,,,1,2,4,,,7,22,23,24,,,,,,,,,,,,,,,22,23,24,,,,,,,,,,,,,,,2,,,,,1,3,3,,,3,2,1,3,,1,1,7,,2,,,,1,1,1,8,11,,,,,,,7,1,2,3,5,6,,,,1,4,4,4,4,4,4,2,,2,,,,,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,1,1,1,1,1,1,1,2,2,2,2,9,,15,18,2,,,,1,1,6,1,1,,,2,1,1,,1,1,2,2,2,2,2,2,1,1,2,2,6,8,1,Trinidad,83,",282388815907517",",434456922342949",1
8602,1,53,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,4,400,1,2,4,,,1,2,125,4,1,,6,100,3,,,,,,,,,,,1,,2,900,1,2,4,7,6,,,,1,2,80,4,9,,1,30,55,1,4,1,2,6,8,,,,,,,7,,,,,,5,20,,,,,,,,,,,,,,,,,,,,,,,,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,1,2,6,,,,,,,1,6,7,,,,,,,,,,FACEBOOK,,,2,2,2,2,2,1,,2,2,2,,2,,2,,2,,2,,2,,1,3,5,6,,,2,,,,,,,3,2,,2,8,,,,,,1,3,,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,4,7,,5,20,,,,,,,,,,,,,,,,,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,1,2,4,,,3,1,2,3,,1,1,6,,1,,,,1,1,6,,,,,,,,,5,1,1,3,,,,,,1,5,5,5,5,5,5,2,,2,,,,,1,,,1,,,1,,,1,,,1,,,2,2,2,2,2,2,2,2,2,2,2,2,,99,99,2,,,,2,1,1,2,1,,,3,1,1,,2,1,2,1,2,2,2,2,1,1,2,2,5,8,1,Trinidad,83,",282388815907517",",434456922342949",1
8603,1,24,1,2,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,2,3000,1,2,4,,,1,2,99,4,1,,3,200,3,,,,,,,,,,,1,3,,1850,1,2,4,6,7,,,,1,2,150,4,1,,1,100,1000,3,4,1,2,5,9,,,,,,,5,,,,,,7,21,22,23,24,,,,,,,,,,,,,,,,,,,,,1,2,9,,,,,,,,,,,,,,,,,,,,,,1,2,9,,,,,,,1,4,7,,,,,,,,,,,,,2,2,2,2,2,9,,5,5,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,9,,,2,,,,,,,2,2,,2,1,4,6,,,,1,2,,2,2,1,,,,,1,1,2,,,6,,,,3,,,,1,,,,1300,1,,,,1,1,1,2,,,5,,,,2,,,,4,,,,1000,1,,,,1,2,2,2,,,,,,1,1,3,,,,,,,,1,2,5,10,,7,19,20,21,22,23,24,,,,,,,,,,,,19,20,21,22,23,24,,,,,,,,,,,,2,,,,,1,4,,,,2,1,1,1,,9,1,,3,1,,,,1,1,1,7,11,,,,,,,7,2,,,,,,,,1,5,5,5,5,5,5,2,,2,,,,,1,,,1,,,1,,,1,,,1,,,6,6,6,6,6,6,6,1,1,1,1,2,,15,17,2,,,,2,2,6,2,1,,,7,7,1,,3,1,2,2,1,2,2,2,1,2,2,2,4,8,1,Trinidad,83,",282388815907517",",434456922342949",3
8605,1,21,1,3,,,,,,,,,,,,,2,,1,1,,2,3000,7,3,,,,,,1,,2,1200,1,2,4,,,2,2,,,1,,3,1800,1,100,1,5,3,5,6,,,,,1,,4,2000,1,2,3,4,7,6,,,1,1,50,3,1,,1,60,55,1,4,1,9,,,,,,,,,1,,,,,,7,22,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,1,2,9,,,,,,,1,,,,,,,,,,,,,,,2,2,2,2,2,2,,5,5,2,,2,,2,,2,,2,,2,,3,5,9,11,,,2,,,,,,,3,2,,1,1,5,6,,,,1,4,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,4,7,,7,22,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,2,,,,,1,2,3,,,4,1,2,2,,1,1,3,,1,,,,1,2,,,,,,,,,,,2,,,,,,,,2,,5,9,3,4,4,2,,2,,,,,1,,,1,,,1,,,1,,,1,,,1,1,1,1,1,1,1,2,2,2,2,2,,21,21,2,,,,2,1,1,1,1,,,1,1,1,,2,1,2,1,2,2,2,2,1,2,1,2,4,8,1,Trinidad,83,",282388815907517",",434456922342949",2
8606,1,39,1,1,,,,,,,,,,,,,1,60,1,6,,9,1200,7,2,3,,,,,1,,,9,1,2,4,,,1,2,125,5,1,,3,150,3,,,,,,,,,,,1,5,,350,1,2,4,6,7,,,,1,3,70,3,1,,1,50,160,2,3,1,2,6,,,,,,,,11,,,,,,4,20,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,1,7,,,,,,,,,,,,,,2,2,2,2,2,9,,5,5,2,,2,,2,,2,,2,,2,,1,3,5,9,,,2,,,,,,,3,2,,2,4,,,,,,1,2,,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,4,,,4,20,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,2,,,,,1,2,4,,,4,1,2,1,,9,1,7,,3,,,,1,1,5,9,,,,,,,,4,2,,,,,,,,2,,9,9,9,9,9,2,,2,,,,,1,,,1,,,1,,,1,,,1,,,2,2,2,2,2,2,2,9,9,9,9,9,,30,37,1,2,,,2,2,2,2,1,,,3,2,1,,2,1,2,2,2,2,2,2,1,2,2,2,5,8,1,Trinidad,83,",282388815907517",",434456922342949",2
8607,1,26,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,2,2000,1,4,,,,2,2,,,2,,,,3,,,,,,,,,,,1,8,,1600,1,2,3,6,7,,,,1,3,150,3,1,,1,100,55,1,3,1,2,8,,,,,,,,5,,,,,,7,97,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,1,2,9,,,,,,,1,5,7,,,,,,,,,,,,,2,2,2,2,2,9,,5,5,2,,2,,2,,2,,2,,2,,1,2,3,5,,,2,,,,,,,3,2,,2,6,,,,,,1,3,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,4,5,,7,98,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,2,,,,,1,2,3,,,1,2,2,1,,1,1,,1,2,,,,1,1,1,8,11,,,,,,,7,2,,,,,,,,1,4,4,4,4,4,4,2,,2,,,,,1,,,1,,,1,,,1,,,1,,,6,6,6,6,6,6,6,2,2,1,2,1,2,18,24,2,,,,1,2,3,2,1,,,7,5,1,,1,1,2,1,1,2,2,2,1,2,2,2,4,8,1,Trinidad,83,",282388815907517",",434456922342949",2
8608,1,47,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,2,750,1,3,4,,,1,2,125,4,1,,4,99,3,,,,,,,,,,,1,,2,450,1,2,4,7,6,,,,1,2,50,4,1,,1,30,80,2,4,1,6,,,,,,,,,11,,,,,,3,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,1,2,6,,,,,,,1,4,7,,,,,,,,,,,,,1,1,1,1,1,9,,3,3,2,,2,,1,2,2,,2,,2,,1,4,7,11,,,2,,,,,,,3,2,,2,2,,,,,,1,4,,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,3,4,,3,12,13,14,15,16,17,18,19,20,,,,,,,,,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,2,,,,,1,4,7,,,2,2,2,1,,9,1,2,,1,,,,2,1,5,9,10,,,,,,,3,1,3,,,,,,,2,,6,6,6,6,6,2,,2,,,,,1,,,1,,,1,,,1,,,1,,,1,1,1,1,1,1,1,2,2,2,2,9,,99,46,2,,,,2,2,1,2,1,,,7,1,1,,1,1,2,1,2,2,2,2,1,1,2,2,7,8,1,Trinidad,83,",282388815907517",",434456922342949",1
